University,year,Rank,Score
AALBORG UNIVERSITY,2011,441.0,27.0
AALBORG UNIVERSITY,2012,497.0,24.0
AALBORG UNIVERSITY,2013,518.0,24.0
AALBORG UNIVERSITY,2014,593.0,19.0
AALBORG UNIVERSITY,2015,499.0,30.0
AALBORG UNIVERSITY,2016,508.0,30.0
AALBORG UNIVERSITY  29,2017,474.0,15.0
AALTO UNIVERSITY,2011,306.0,54.0
AALTO UNIVERSITY,2012,250.0,78.0
AALTO UNIVERSITY,2013,241.0,96.0
AALTO UNIVERSITY,2014,224.0,114.0
AALTO UNIVERSITY,2015,207.0,137.0
AALTO UNIVERSITY,2016,211.0,138.0
AALTO UNIVERSITY    113,2017,219.0,63.0
AARHUS UNIVERSITY,2011,95.0,238.0
AARHUS UNIVERSITY,2012,86.0,287.0
AARHUS UNIVERSITY,2013,91.0,310.0
AARHUS UNIVERSITY,2014,84.0,349.0
AARHUS UNIVERSITY,2015,87.0,360.0
AARHUS UNIVERSITY,2016,88.0,379.0
AARHUS UNIVERSITY   312,2017,90.0,199.0
ABANT IZZET BAYSAL UNIVERSITY,2016,1253.0,2.0
ABANT IZZET BAYSAL UNIVERSITY    2,2017,1196.0,
ABERYSTWYTH UNIVERSITY,2012,1342.0,1.0
ABERYSTWYTH UNIVERSITY,2013,1205.0,2.0
ABERYSTWYTH UNIVERSITY,2014,1210.0,2.0
ABERYSTWYTH UNIVERSITY,2015,1238.0,2.0
ABERYSTWYTH UNIVERSITY,2016,1236.0,2.0
ABERYSTWYTH UNIVERSITY   1,2017,1272.0,
ABO AKADEMIE UNIVERSITY,2011,765.0,7.0
ABO AKADEMIE UNIVERSITY,2012,901.0,4.0
ABO AKADEMIE UNIVERSITY,2013,885.0,6.0
ABO AKADEMIE UNIVERSITY,2014,1034.0,4.0
ABO AKADEMIE UNIVERSITY,2015,973.0,5.0
ABO AKADEMIE UNIVERSITY,2016,930.0,6.0
ABO AKADEMIE UNIVERSITY 6,2017,883.0,2.0
ABU DHABI UNIVERSITY,2011,1276.0,1.0
ABU DHABI UNIVERSITY,2012,1309.0,1.0
ABU DHABI UNIVERSITY,2013,1378.0,1.0
ABU DHABI UNIVERSITY,2014,1379.0,1.0
ACADEMIC COLLEGE OF TEL AVIV YAFFO,2011,714.0,9.0
ACADEMIC COLLEGE OF TEL AVIV YAFFO,2012,739.0,9.0
