University,year,Rank,Score
AALBORG UNIVERSITY,2010,669.0,3.0
AALBORG UNIVERSITY,2011,704.0,3.0
AALBORG UNIVERSITY,2012,714.0,3.0
AALBORG UNIVERSITY,2013,748.0,3.0
AALBORG UNIVERSITY,2014,779.0,3.0
AALBORG UNIVERSITY,2016,1117.0,1.0
AALBORG UNIVERSITY,2017,1083.0,1.0
AALTO UNIVERSITY,2010,877.0,1.0
AALTO UNIVERSITY,2011,322.0,17.0
AALTO UNIVERSITY,2012,265.0,26.0
AALTO UNIVERSITY,2013,258.0,31.0
AALTO UNIVERSITY,2014,244.0,37.0
AALTO UNIVERSITY,2015,220.0,44.0
AALTO UNIVERSITY,2016,244.0,42.0
AALTO UNIVERSITY,2017,252.0,33.0
AARHUS UNIVERSITY,1999,145.0,12.0
AARHUS UNIVERSITY,2000,171.0,12.0
AARHUS UNIVERSITY,2001,164.0,17.0
AARHUS UNIVERSITY,2002,143.0,22.0
AARHUS UNIVERSITY,2003,177.0,17.0
AARHUS UNIVERSITY,2004,154.0,23.0
AARHUS UNIVERSITY,2005,141.0,29.0
AARHUS UNIVERSITY,2006,130.0,34.0
AARHUS UNIVERSITY,2007,143.0,36.0
AARHUS UNIVERSITY,2008,97.0,61.0
AARHUS UNIVERSITY,2009,101.0,71.0
AARHUS UNIVERSITY,2010,91.0,91.0
AARHUS UNIVERSITY,2011,82.0,108.0
AARHUS UNIVERSITY,2012,75.0,127.0
AARHUS UNIVERSITY,2013,81.0,132.0
AARHUS UNIVERSITY,2014,80.0,147.0
AARHUS UNIVERSITY,2015,80.0,154.0
AARHUS UNIVERSITY,2016,78.0,168.0
AARHUS UNIVERSITY,2017,75.0,139.0
ABERTAY UNIVERSITY,1999,502.0,1.0
ABERTAY UNIVERSITY,2000,564.0,1.0
ABERTAY UNIVERSITY,2001,621.0,1.0
ABERYSTWYTH UNIVERSITY,2012,1006.0,1.0
ABERYSTWYTH UNIVERSITY,2013,908.0,1.0
ABERYSTWYTH UNIVERSITY,2014,924.0,1.0
ABERYSTWYTH UNIVERSITY,2015,949.0,1.0
ABERYSTWYTH UNIVERSITY,2016,962.0,1.0
ABERYSTWYTH UNIVERSITY,2017,1023.0,1.0
ABO AKADEMIE UNIVERSITY,1999,380.0,2.0
ABO AKADEMIE UNIVERSITY,2000,418.0,2.0
ABO AKADEMIE UNIVERSITY,2001,454.0,2.0
ABO AKADEMIE UNIVERSITY,2006,858.0,0.0
ABO AKADEMIE UNIVERSITY,2007,640.0,2.0
ABO AKADEMIE UNIVERSITY,2008,695.0,2.0
ABO AKADEMIE UNIVERSITY,2009,532.0,4.0
ABO AKADEMIE UNIVERSITY,2010,577.0,4.0
ABO AKADEMIE UNIVERSITY,2011,635.0,4.0
ABO AKADEMIE UNIVERSITY,2012,766.0,2.0
ABO AKADEMIE UNIVERSITY,2013,809.0,2.0
ABO AKADEMIE UNIVERSITY,2015,1085.0,1.0
ABO AKADEMIE UNIVERSITY,2016,1094.0,1.0
ABO AKADEMIE UNIVERSITY,2017,1057.0,1.0
ACADEMIC COLLEGE OF TEL AVIV YAFFO,2003,610.0,1.0
ACADEMIC COLLEGE OF TEL AVIV YAFFO,2004,638.0,1.0
ACADEMIC COLLEGE OF TEL AVIV YAFFO,2005,655.0,1.0
ACADEMIC COLLEGE OF TEL AVIV YAFFO,2006,689.0,1.0
ACADEMIC COLLEGE OF TEL AVIV YAFFO,2007,720.0,1.0
ACADEMIC COLLEGE OF TEL AVIV YAFFO,2011,696.0,3.0
ACADEMIC COLLEGE OF TEL AVIV YAFFO,2012,705.0,3.0
ACADEMIC COLLEGE OF TEL AVIV YAFFO,2013,742.0,3.0
ACADEMIC COLLEGE OF TEL AVIV YAFFO,2014,581.0,7.0
ACADEMIC COLLEGE OF TEL AVIV YAFFO,2015,555.0,8.0
ACADEMIC COLLEGE OF TEL AVIV YAFFO,2016,674.0,5.0
ACADEMIC COLLEGE OF TEL AVIV YAFFO,2017,624.0,5.0
ACADEMY OF SCIENCES OF THE CZECH REPUBLIC,2013,541.0,7.0
ACADEMY OF SCIENCES OF THE CZECH REPUBLIC,2014,566.0,7.0
ACADEMY OF SCIENCES OF THE CZECH REPUBLIC,2015,580.0,7.0
ACADEMY OF SCIENCES OF THE CZECH REPUBLIC,2016,585.0,7.0
ACADEMY OF SCIENCES OF THE CZECH REPUBLIC,2017,551.0,7.0
ACADIA UNIVERSITY,2005,729.0,1.0
ACADIA UNIVERSITY,2006,756.0,1.0
ACADIA UNIVERSITY,2007,793.0,1.0
ACADIA UNIVERSITY,2008,875.0,1.0
ACADIA UNIVERSITY,2009,901.0,1.0
ADELPHI UNIVERSITY,2010,921.0,1.0
ADELPHI UNIVERSITY,2011,949.0,1.0
ADELPHI UNIVERSITY,2012,970.0,1.0
ADELPHI UNIVERSITY,2013,1024.0,1.0
ADELPHI UNIVERSITY,2014,1035.0,1.0
ADNAN MENDERES UNIVERSITY,2010,997.0,0.0
ADNAN MENDERES UNIVERSITY,2011,1015.0,0.0
ADNAN MENDERES UNIVERSITY,2012,1059.0,0.0
ADNAN MENDERES UNIVERSITY,2013,1108.0,0.0
ADNAN MENDERES UNIVERSITY,2014,1123.0,0.0
ADOLFO IBANEZ UNIVERSITY,2008,784.0,1.0
ADOLFO IBANEZ UNIVERSITY,2009,792.0,1.0
ADOLFO IBANEZ UNIVERSITY,2010,834.0,1.0
ADOLFO IBANEZ UNIVERSITY,2011,715.0,3.0
ADOLFO IBANEZ UNIVERSITY,2012,606.0,5.0
ADOLFO IBANEZ UNIVERSITY,2013,591.0,6.0
ADOLFO IBANEZ UNIVERSITY,2014,549.0,8.0
ADOLFO IBANEZ UNIVERSITY,2015,480.0,12.0
ADOLFO IBANEZ UNIVERSITY,2016,497.0,11.0
ADOLFO IBANEZ UNIVERSITY,2017,507.0,9.0
AGRICULTURAL UNIVERSITY OF ATHENS,2008,925.0,0.0
AGRICULTURAL UNIVERSITY OF ATHENS,2009,939.0,0.0
AGRICULTURAL UNIVERSITY OF ATHENS,2010,965.0,0.0
AGRICULTURAL UNIVERSITY OF ATHENS,2011,986.0,0.0
AGRICULTURAL UNIVERSITY OF ATHENS,2012,1034.0,0.0
AGRICULTURAL UNIVERSITY OF ATHENS,2015,962.0,1.0
AGRICULTURAL UNIVERSITY OF ATHENS,2016,900.0,2.0
AGRICULTURAL UNIVERSITY OF ATHENS,2017,855.0,2.0
AICHI GAKUIN UNIVERSITY,2009,1002.0,0.0
AICHI GAKUIN UNIVERSITY,2010,1028.0,0.0
AICHI GAKUIN UNIVERSITY,2011,1049.0,0.0
AICHI GAKUIN UNIVERSITY,2012,989.0,1.0
AICHI GAKUIN UNIVERSITY,2013,1042.0,1.0
AICHI GAKUIN UNIVERSITY,2014,1070.0,1.0
AICHI GAKUIN UNIVERSITY,2015,1123.0,1.0
AICHI GAKUIN UNIVERSITY,2016,1134.0,1.0
AIX MARSEILLE UNIVERSITY,2009,606.0,3.0
AIX MARSEILLE UNIVERSITY,2010,645.0,3.0
AIX MARSEILLE UNIVERSITY,2011,484.0,7.0
AIX MARSEILLE UNIVERSITY,2012,306.0,21.0
AIX MARSEILLE UNIVERSITY,2013,244.0,33.0
AIX MARSEILLE UNIVERSITY,2014,159.0,62.0
AIX MARSEILLE UNIVERSITY,2015,146.0,75.0
AIX MARSEILLE UNIVERSITY,2016,112.0,103.0
AIX MARSEILLE UNIVERSITY,2017,112.0,89.0
AJOU UNIVERSITY,1999,607.0,0.0
AJOU UNIVERSITY,2000,682.0,0.0
AJOU UNIVERSITY,2001,755.0,0.0
AJOU UNIVERSITY,2002,759.0,0.0
AJOU UNIVERSITY,2003,790.0,0.0
AJOU UNIVERSITY,2012,1006.0,1.0
AJOU UNIVERSITY,2013,1057.0,1.0
AJOU UNIVERSITY,2014,1070.0,1.0
AJOU UNIVERSITY,2015,961.0,1.0
AJOU UNIVERSITY,2016,972.0,1.0
AJOU UNIVERSITY,2017,1049.0,1.0
AKITA INTERNATIONAL UNIVERSITY,2013,730.0,3.0
AKITA INTERNATIONAL UNIVERSITY,2014,756.0,3.0
AKITA INTERNATIONAL UNIVERSITY,2015,775.0,3.0
AKITA INTERNATIONAL UNIVERSITY,2016,797.0,3.0
AKITA INTERNATIONAL UNIVERSITY,2017,752.0,3.0
AKITA PREFECTURAL UNIVERSITY,2003,767.0,0.0
AKITA PREFECTURAL UNIVERSITY,2004,817.0,0.0
AKITA PREFECTURAL UNIVERSITY,2005,848.0,0.0
AKITA PREFECTURAL UNIVERSITY,2006,800.0,1.0
AKITA PREFECTURAL UNIVERSITY,2007,831.0,1.0
AKITA PREFECTURAL UNIVERSITY,2008,974.0,0.0
AKITA PREFECTURAL UNIVERSITY,2009,988.0,0.0
AKITA PREFECTURAL UNIVERSITY,2010,1014.0,0.0
ALBERTO HURTADO UNIVERSITY,2010,997.0,0.0
