University,year,Rank,Score
AALBORG UNIVERSITY,1994,457.0,4.0
AALBORG UNIVERSITY,1995,466.0,4.0
AALBORG UNIVERSITY,1996,372.0,8.0
AALBORG UNIVERSITY,1997,401.0,7.0
AALBORG UNIVERSITY,1998,416.0,7.0
AALBORG UNIVERSITY,1999,355.0,11.0
AALBORG UNIVERSITY,2000,327.0,13.0
AALBORG UNIVERSITY,2001,361.0,11.0
AALBORG UNIVERSITY,2002,354.0,12.0
AALBORG UNIVERSITY,2003,341.0,14.0
AALBORG UNIVERSITY,2004,434.0,9.0
AALBORG UNIVERSITY,2005,426.0,10.0
AALBORG UNIVERSITY,2006,441.0,10.0
AALBORG UNIVERSITY,2007,458.0,10.0
AALBORG UNIVERSITY,2008,469.0,10.0
AALBORG UNIVERSITY,2009,433.0,13.0
AALBORG UNIVERSITY,2010,480.0,12.0
AALBORG UNIVERSITY,2011,512.0,11.0
AALBORG UNIVERSITY,2012,539.0,11.0
AALBORG UNIVERSITY,2013,576.0,10.0
AALBORG UNIVERSITY,2014,607.0,9.0
AALBORG UNIVERSITY,2015,655.0,8.0
AALBORG UNIVERSITY,2016,669.0,8.0
AALBORG UNIVERSITY,2017,667.0,8.0
AALBORG UNIVERSITY,2018,735.0,2.0
AALBORG UNIVERSITY,2019,742.0,2.0
AALTO UNIVERSITY,2010,676.0,5.0
AALTO UNIVERSITY,2011,403.0,18.0
AALTO UNIVERSITY,2012,328.0,26.0
AALTO UNIVERSITY,2013,275.0,36.0
AALTO UNIVERSITY,2014,249.0,43.0
AALTO UNIVERSITY,2015,246.0,46.0
AALTO UNIVERSITY,2016,266.0,44.0
AALTO UNIVERSITY,2017,259.0,47.0
AALTO UNIVERSITY,2018,229.0,27.0
AALTO UNIVERSITY,2019,217.0,29.0
AARHUS UNIVERSITY,1994,119.0,39.0
AARHUS UNIVERSITY,1995,118.0,42.0
AARHUS UNIVERSITY,1996,99.0,52.0
AARHUS UNIVERSITY,1997,97.0,58.0
AARHUS UNIVERSITY,1998,90.0,64.0
AARHUS UNIVERSITY,1999,95.0,63.0
AARHUS UNIVERSITY,2000,96.0,64.0
AARHUS UNIVERSITY,2001,97.0,62.0
AARHUS UNIVERSITY,2002,96.0,65.0
AARHUS UNIVERSITY,2003,101.0,61.0
AARHUS UNIVERSITY,2004,110.0,59.0
AARHUS UNIVERSITY,2005,125.0,55.0
AARHUS UNIVERSITY,2006,125.0,59.0
AARHUS UNIVERSITY,2007,145.0,52.0
AARHUS UNIVERSITY,2008,118.0,69.0
