Rank,University,Score
1,HARVARD UNIVERSITY,592
2,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,397
3,UNIVERSITY OF CHICAGO,356
4,STANFORD UNIVERSITY,285
5,PRINCETON UNIVERSITY,282
6,UNIVERSITY OF PENNSYLVANIA,266
7,"UNIVERSITY OF CALIFORNIA, BERKELEY",260
8,NORTHWESTERN UNIVERSITY,229
9,COLUMBIA UNIVERSITY,193
10,UNIVERSITY OF MICHIGAN,184
11,NEW YORK UNIVERSITY,171
12,LONDON SCHOOL OF ECONOMICS AND POLITICAL SCIENCE,168
13,YALE UNIVERSITY,151
14,"UNIVERSITY OF CALIFORNIA, LOS ANGELES",144
15,UNIVERSITY OF MARYLAND,132
16,CORNELL UNIVERSITY,128
17,UNIVERSITY OF ROCHESTER,125
18,"UNIVERSITY OF MINNESOTA, TWIN CITIES",123
19,UNIVERSITY OF TEXAS,120
20,TILBURG UNIVERSITY,105
21,TEL AVIV UNIVERSITY,104
22,UNIVERSITY OF WISCONSIN,103
23,DUKE UNIVERSITY,101
24,BOSTON UNIVERSITY,99
25,UNIVERSITY COLLEGE LONDON,94
26,OHIO STATE UNIVERSITY,93
27,BROWN UNIVERSITY,91
28,UNIVERSITY OF VIRGINIA,89
29,STOCKHOLM SCHOOL OF ECONOMICS,87
30,"UNIVERSITY OF ILLINOIS, URBANA-CHAMPAIGN",86
31,UNIVERSITY OF OXFORD,84
32,UNIVERSITY OF BRITISH COLUMBIA,81
33,"UNIVERSITY OF NORTH CAROLINA, CHAPEL HILL",81
34,DARTMOUTH COLLEGE,74
35,UNIVERSITY OF SOUTHERN CALIFORNIA,73
36,PENNSYLVANIA STATE UNIVERSITY,72
37,"UNIVERSITY OF CALIFORNIA, SAN DIEGO",72
38,MICHIGAN STATE UNIVERSITY,71
39,UNIVERSITY OF TORONTO,69
40,CARNEGIE MELLON UNIVERSITY,68
41,GEORGETOWN UNIVERSITY,67
42,HEBREW UNIVERSITY OF JERUSALEM,66
43,"UNIVERSITY OF CALIFORNIA, DAVIS",65
44,POMPEU FABRA UNIVERSITY,64
45,UNIVERSITY OF WESTERN ONTARIO,64
46,UNIVERSITY OF WASHINGTON,64
47,UNIVERSITY OF IOWA,64
48,UNIVERSITY OF WARWICK,61
49,INDIANA UNIVERSITY,60
50,UNIVERSITY OF PITTSBURGH,60
51,WASHINGTON UNIVERSITY,58
52,VANDERBILT UNIVERSITY,58
53,UNIVERSITY OF FLORIDA,57
54,JOHNS HOPKINS UNIVERSITY,57
55,ERASMUS UNIVERSITY ROTTERDAM,56
56,UNIVERSITY OF YORK,56
57,UNIVERSITY OF TOULOUSE / TOULOUSE SCHOOL OF ECONOMICS,52
58,HONG KONG UNIVERSITY OF SCIENCE AND TECHNOLOGY,52
59,CALIFORNIA INSTITUTE OF TECHNOLOGY,51
60,UNIVERSITE CATHOLIQUE DE LOUVAIN,51
61,FREE UNIVERSITY BRUSSELS,50
62,RUTGERS STATE UNIVERSITY,50
63,UNIVERSITY OF ESSEX,49
64,PURDUE UNIVERSITY,49
65,BOSTON COLLEGE,48
66,STOCKHOLM UNIVERSITY,45
67,UNIVERSITY OF CAMBRIDGE,45
68,TEXAS A&M UNIVERSITY,44
69,UNIVERSITY OF MONTREAL,44
70,UNIVERSITY OF SOUTHAMPTON,42
71,"UNIVERSITY OF CALIFORNIA, IRVINE",41
72,UNIVERSITY OF OREGON,40
73,UNIVERSITY OF COLORADO,39
74,UNIVERSITY OF NOTTINGHAM,39
75,VU UNIVERSITY AMSTERDAM,38
76,ARIZONA STATE UNIVERSITY,38
77,UNIVERSITY OF BRISTOL,37
78,UNIVERSITY OF BONN,37
79,QUEENS UNIVERSITY,37
80,AUSTRALIAN NATIONAL UNIVERSITY,35
81,UNIVERSITY OF COPENHAGEN,35
82,SYRACUSE UNIVERSITY,33
83,CHINESE UNIVERSITY OF HONG KONG,33
84,UNIVERSITY OF HOUSTON,33
85,UNIVERSITY OF AMSTERDAM,33
86,SOUTHERN METHODIST UNIVERSITY,32
87,UNIVERSITY OF CARLOS III MADRID,32
88,UNIVERSITY OF MANNHEIM,31
89,UNIVERSITY OF ARIZONA,31
90,"UNIVERSITY OF CALIFORNIA, SANTA CRUZ",31
91,UNIVERSITY OF ZURICH,30
92,UNIVERSITY OF MUNICH,30
93,VIRGINIA POLYTECHNIC INSTITUTE AND STATE UNIVERSITY,29
94,UNIVERSITY OF PARIS I,29
95,EMORY UNIVERSITY,29
96,UPPSALA UNIVERSITY,28
97,GEORGE WASHINGTON UNIVERSITY,27
98,"UNIVERSITY OF CALIFORNIA, SANTA BARBARA",26
99,"BIRKBECK COLLEGE, UNIVERSITY OF LONDON",26
100,LONDON BUSINESS SCHOOL,26
101,SWARTHMORE COLLEGE,26
102,GEORGIA STATE UNIVERSITY,26
103,BRIGHAM YOUNG UNIVERSITY,26
104,UNIVERSITY OF EXETER,26
105,"UNIVERSITY OF MISSOURI, COLUMBIA",26
106,UNIVERSITY OF KENTUCKY,25
107,MCGILL UNIVERSITY,25
108,UNIVERSITY OF OSLO,25
109,YORK UNIVERSITY,25
110,MCMASTER UNIVERSITY,24
111,UNIVERSITY OF NOTRE DAME,24
112,HUMBOLDT UNIVERSITY OF BERLIN,23
113,IOWA STATE UNIVERSITY,23
114,TULANE UNIVERSITY,23
115,UNIVERSITY OF SUSSEX,22
116,UNIVERSITY OF NEW SOUTH WALES,22
117,LOUISIANA STATE UNIVERSITY,22
118,BRANDEIS UNIVERSITY,22
119,"UNIVERSITY OF CALIFORNIA, RIVERSIDE",21
120,EUROPEAN UNIVERSITY INSTITUTE,21
121,UNIVERSITY OF MELBOURNE,21
122,"NORWEGIAN SCHOOL OF ECONOMICS, NHH",20
123,UNIVERSITY LAVAL,20
124,INSEAD,20
125,UNIVERSITY OF HONG KONG,20
126,KEELE UNIVERSITY,20
127,UNIVERSITY OF VIENNA,20
128,MAASTRICHT UNIVERSITY,19
129,UNIVERSITY OF WYOMING,19
130,BOCCONI UNIVERSITY,19
131,SIMON FRASER UNIVERSITY,18
132,UNIVERSITY OF BERN,18
133,FREE UNIVERSITY BERLIN,18
134,UNIVERSITY OF SOUTH CAROLINA,18
135,NATIONAL UNIVERSITY OF SINGAPORE,18
136,UNIVERSITY OF LONDON,18
137,UNIVERSITY OF QUEBEC,18
138,KANSAS STATE UNIVERSITY,18
139,TECHNION ISRAEL,17
140,RICE UNIVERSITY,17
141,UNIVERSITY OF ALABAMA,17
142,AMERICAN UNIVERSITY WASHINGTON,17
143,UNIVERSITY COLLEGE DUBLIN,17
144,UNIVERSITY OF BOLOGNA,17
145,CLARK UNIVERSITY,17
146,VICTORIA UNIVERSITY OF WELLINGTON,17
147,UNIVERSITY OF TOKYO,16
148,UNIVERSITY OF GEORGIA,16
149,UNIVERSITY OF ALBERTA,16
150,UNIVERSITY OF CONNECTICUT,16
151,KOREA UNIVERSITY,16
152,"UNIVERSITY OF ROME, LA SAPIENZA",16
153,UNIVERSITY AUTONOMA BARCELONA,16
154,"SUNY, BUFFALO",16
155,WELLESLEY COLLEGE,16
156,BEN GURION UNIVERSITY OF THE NEGEV,16
157,NATIONAL TAIWAN UNIVERSITY,15
158,UNIVERSITY OF GUELPH,15
159,NEWCASTLE UNIVERSITY,15
160,UNIVERSITY OF OKLAHOMA,14
161,UNIVERSITY OF HELSINKI,14
162,UNIVERSITY OF CHILE,13
163,UNIVERSITY OF LAUSANNE,13
164,UNIVERSITY OF SYDNEY,13
165,UNIVERSITY OF TSUKUBA,13
166,UNIVERSITY OF LEICESTER,13
167,INSTITUTO TECNOLOGICO AUTONOMO DE MEXICO,13
168,COLLEGE OF WILLIAM AND MARY,13
169,"QUEEN MARY, UNIVERSITY OF LONDON",13
170,LUND UNIVERSITY,13
171,AARHUS UNIVERSITY,12
172,INDIANA UNIVERSITY-PURDUE UNIVERSITY INDIANAPOLIS,12
173,UNIVERSITY OF KANSAS,12
174,NORTH CAROLINA STATE UNIVERSITY,12
175,UNIVERSITY OF ALICANTE,12
176,UNIVERSITY OF WALES,12
177,SANTA CLARA UNIVERSITY,12
178,NEW UNIVERSITY OF LISBON (NOVA),12
179,CLEMSON UNIVERSITY,12
180,OSAKA UNIVERSITY,12
181,CITY UNIVERSITY OF NEW YORK,12
182,KYOTO UNIVERSITY,12
183,WAYNE STATE UNIVERSITY,11
184,CASE WESTERN RESERVE UNIVERSITY,11
185,BIELEFELD UNIVERSITY,11
186,UNIVERSITY OF CERGY PONTOISE,11
187,BILKENT UNIVERSITY,11
188,UNIVERSITY OF MANCHESTER,11
189,WEST VIRGINIA UNIVERSITY,11
190,PONTIFICIAL CATHOLIC UNIVERSITY OF CHILE,11
191,UNIVERSITY OF MIAMI,11
192,UNIVERSITY OF VICTORIA,11
193,UNIVERSITY OF SOUTHERN DENMARK,11
194,KATHOLIEKE UNIVERSITEIT LEUVEN,11
195,UNIVERSITY OF GENEVA,11
196,FORDHAM UNIVERSITY,10
197,SEOUL NATIONAL UNIVERSITY,10
198,UNIVERSITY OF ST ANDREWS,10
199,BAR ILAN UNIVERSITY,10
200,AUBURN UNIVERSITY,10
201,TUFTS UNIVERSITY,10
202,"SUNY, ALBANY",10
203,UNIVERSITY OF PAVIA,10
204,UNIVERSITY OF WATERLOO,10
205,LOYOLA UNIVERSITY CHICAGO,10
206,UNIVERSITY OF DELAWARE,10
207,FLORIDA STATE UNIVERSITY,10
208,UNIVERSITY OF GLASGOW,9
209,UNIVERSITY OF CYPRUS,9
210,UNIVERSITY OF MODENA,9
211,UNIVERSITY OF EAST ANGLIA,9
212,BRUNEL UNIVERSITY,9
213,UNIVERSITY OF ABERDEEN,9
214,UNIVERSITY OF TURIN,9
215,UNIVERSITY OF WINDSOR,9
216,UNIVERSITY OF STRATHCLYDE,9
217,PARIS DAUPHINE UNIVERSITY,9
218,HITOTSUBASHI UNIVERSITY,9
219,UNIVERSITY OF BERGEN,9
220,KOBE UNIVERSITY,9
221,IMPERIAL COLLEGE LONDON,9
222,KOC UNIVERSITY,8
223,UNIVERSITY OF GRONINGEN,8
224,UNIVERSITY OF BASEL,8
225,MONASH UNIVERSITY,8
226,UNIVERSITY OF KENT,8
227,"UNIVERSITY OF NEBRASKA, LINCOLN",8
228,UNIVERSITY OF MISSISSIPPI,8
229,UNIVERSITY OF EDINBURGH,8
230,CITY UNIVERSITY LONDON,8
231,UNIVERSITY OF AUCKLAND,8
232,GEORGE MASON UNIVERSITY,8
233,UNIVERSITY OF KONSTANZ,8
234,UMEA UNIVERSITY,8
235,"SUNY, STONY BROOK",8
236,FLORIDA INTERNATIONAL UNIVERSITY,8
237,CARLETON UNIVERSITY,8
238,UNIVERSITY OF WESTERN AUSTRALIA,8
239,KEIO UNIVERSITY,8
240,UNIVERSITY OF NAMUR,8
241,UNIVERSITY DE LA MEDITERRANEE AIX-MARSEILLE 2,8
242,JAMES COOK UNIVERSITY,7
243,"UNIVERSITY OF NEVADA, RENO",7
244,CATHOLIC UNIVERSITY OF PORTUGAL,7
245,OREGON STATE UNIVERSITY,7
246,UNIVERSITY OF MAGDEBURG,7
247,UNIVERSITY OF SALERNO,7
248,"CALIFORNIA STATE UNIVERSITY, LOS ANGELES",7
249,UNIVERSITY OF PAU AND PAYS DE LADOUR,7
250,UNIVERSITY OF DORTMUND,7
251,LEIDEN UNIVERSITY,7
252,UNIVERSITY OF BIRMINGHAM,7
253,TEXAS TECHNICAL UNIVERSITY,7
254,SOGANG UNIVERSITY,7
255,"NORWEGIAN BUSINESS SCHOOL, BI",7
256,TORCUATO DI TELLA UNIVERSITY,7
257,CA FOSCARI UNIVERSITY OF VENICE,7
258,UNIVERSITY OF BARCELONA,7
259,JOHANNES KEPLER UNIVERSITY,7
260,UNIVERSITY OF SOUTH FLORIDA,7
261,UNIVERSITY OF HAIFA,6
262,UNIVERSITY OF BRESCIA,6
263,DRAKE UNIVERSITY,6
264,WILFRID LAURIER UNIVERSITY,6
265,UNIVERSITY OF CAEN,6
266,CONCORDIA UNIVERSITY,6
267,"CALIFORNIA STATE UNIVERSITY, FULLERTON",6
268,UNIVERSITY OF MASSACHUSETTS,6
269,UNIVERSITY OF LYON,6
270,UNIVERSITY OF LIEGE,6
271,"UNIVERSITY OF MARYLAND, BALTIMORE COUNTY",6
272,COPENHAGEN BUSINESS SCHOOL,6
273,CITY UNIVERSITY HONG KONG,6
274,"CUNY, BARUCH COLLEGE",6
275,UNIVERSITY OF SALFORD,6
276,NORTHEASTERN UNIVERSITY,6
277,UNIVERSITY OF OSNABRUCK,6
278,UNIVERSITY OF CENTRAL FLORIDA,6
279,TRINITY COLLEGE DUBLIN,6
280,SOUTHERN ILLINOIS UNIVERSITY,6
281,WASHINGTON STATE UNIVERSITY,5
282,UNIVERSITY OF CINCINNATI,5
283,"CUNY, HUNTER COLLEGE",5
284,"UNIVERSITY OF TENNESSEE, KNOXVILLE",5
285,UNIVERSITY OF ANTWERP,5
286,UNIVERSITY COMPLUTENSE MADRID,5
287,UNIVERSITY OF NEW ORLEANS,5
288,UNIVERSITY OF TASMANIA,5
289,PEKING UNIVERSITY,5
290,UNIVERSITY OF PARIS X,5
291,TEMPLE UNIVERSITY,5
292,DALHOUSIE UNIVERSITY,5
293,HAMILTON COLLEGE,5
294,PONTIFICAL CATHOLIC UNIVERSITY OF RIO DE JANEIRO,5
295,BROCK UNIVERSITY,5
296,UNIVERSITY OF HULL,5
297,UNIVERSITY OF SURREY,5
298,LEHIGH UNIVERSITY,5
299,UNIVERSITY OF LIVERPOOL,5
300,UNIVERSITY OF SHEFFIELD,5
301,UNIVERSITY OF ST GALLEN,5
302,WUHAN UNIVERSITY,5
303,UNIVERSITY OF FLORENCE,5
304,WAKE FOREST UNIVERSITY,5
305,INTERNATIONAL UNIVERSITY OF JAPAN,5
306,SAN DIEGO STATE UNIVERSITY,5
307,UNIVERSITY OF SAARLAND,5
308,UNIVERSITY OF QUEENSLAND,5
309,UNIVERSITY OF FREIBURG,5
310,SAINT LOUIS UNIVERSITY,5
311,MIAMI UNIVERSITY,5
312,UNIVERSITY OF TROMSO,4
313,UNIVERSITY OF PADUA,4
