Rank,University,Score
1,HARVARD UNIVERSITY,2112
2,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,988
3,STANFORD UNIVERSITY,978
4,"UNIVERSITY OF CALIFORNIA, BERKELEY",935
5,UNIVERSITY OF TEXAS,855
6,YALE UNIVERSITY,794
7,UNIVERSITY OF CHICAGO,733
8,"UNIVERSITY OF CALIFORNIA, SAN DIEGO",706
9,UNIVERSITY OF PENNSYLVANIA,705
10,"UNIVERSITY OF CALIFORNIA, LOS ANGELES",669
11,CORNELL UNIVERSITY,615
12,COLUMBIA UNIVERSITY,595
13,UNIVERSITY OF WISCONSIN,578
14,JOHNS HOPKINS UNIVERSITY,570
15,UNIVERSITY OF WASHINGTON,568
16,CALIFORNIA INSTITUTE OF TECHNOLOGY,543
17,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",531
18,DUKE UNIVERSITY,520
18,UNIVERSITY OF MICHIGAN,520
20,WASHINGTON UNIVERSITY,506
21,NORTHWESTERN UNIVERSITY,483
22,NEW YORK UNIVERSITY,462
23,PRINCETON UNIVERSITY,437
24,"UNIVERSITY OF ILLINOIS, URBANA-CHAMPAIGN",430
25,"UNIVERSITY OF MINNESOTA, TWIN CITIES",428
26,UNIVERSITY OF OXFORD,423
27,UNIVERSITY OF MARYLAND,395
28,UNIVERSITY OF CAMBRIDGE,383
28,"UNIVERSITY OF NORTH CAROLINA, CHAPEL HILL",383
30,UNIVERSITY OF COLORADO,377
31,UNIVERSITY OF TORONTO,354
32,PENNSYLVANIA STATE UNIVERSITY,323
33,"UNIVERSITY OF CALIFORNIA, DAVIS",306
34,UNIVERSITY OF BRITISH COLUMBIA,302
35,UNIVERSITY OF SOUTHERN CALIFORNIA,297
36,UNIVERSITY OF TOKYO,292
37,RUTGERS STATE UNIVERSITY,290
38,OHIO STATE UNIVERSITY,287
38,UNIVERSITY OF ARIZONA,287
40,BOSTON UNIVERSITY,281
41,INDIANA UNIVERSITY,268
42,UNIVERSITY OF ROCHESTER,267
43,"UNIVERSITY OF CALIFORNIA, IRVINE",262
44,HEBREW UNIVERSITY OF JERUSALEM,256
44,TEL AVIV UNIVERSITY,256
46,UNIVERSITY COLLEGE LONDON,244
47,TEXAS A&M UNIVERSITY,238
48,MICHIGAN STATE UNIVERSITY,226
49,UNIVERSITY OF FLORIDA,224
50,MCGILL UNIVERSITY,221
51,PURDUE UNIVERSITY,217
51,"SUNY, STONY BROOK",217
53,VANDERBILT UNIVERSITY,213
54,LONDON SCHOOL OF ECONOMICS AND POLITICAL SCIENCE,212
55,AUSTRALIAN NATIONAL UNIVERSITY,211
56,UNIVERSITY OF IOWA,210
57,UNIVERSITY OF PITTSBURGH,208
58,"UNIVERSITY OF CALIFORNIA, SANTA BARBARA",207
59,UNIVERSITY OF VIRGINIA,205
60,TILBURG UNIVERSITY,201
60,UNIVERSITY OF MASSACHUSETTS,201
62,BROWN UNIVERSITY,199
63,CARNEGIE MELLON UNIVERSITY,197
63,UNIVERSITY OF UTAH,197
65,KYOTO UNIVERSITY,176
66,UNIVERSITY OF AMSTERDAM,171
67,UNIVERSITY OF ALABAMA,170
68,OSAKA UNIVERSITY,169
69,UNIVERSITY OF GEORGIA,159
70,CASE WESTERN RESERVE UNIVERSITY,158
71,ERASMUS UNIVERSITY ROTTERDAM,155
72,UNIVERSITE CATHOLIQUE DE LOUVAIN,154
73,ARIZONA STATE UNIVERSITY,150
73,UNIVERSITY OF MONTREAL,150
75,UNIVERSITY OF ZURICH,140
76,UNIVERSITY OF PARIS VI,138
77,UNIVERSITY OF MUNICH,129
77,UNIVERSITY OF WESTERN ONTARIO,129
79,IOWA STATE UNIVERSITY,128
80,"UNIVERSITY OF CALIFORNIA, SANTA CRUZ",127
81,UNIVERSITY OF HAWAII,126
82,UNIVERSITY OF CONNECTICUT,125
83,HEIDELBERG UNIVERSITY,122
83,UNIVERSITY OF COPENHAGEN,122
85,EMORY UNIVERSITY,120
85,IMPERIAL COLLEGE LONDON,120
87,NORTH CAROLINA STATE UNIVERSITY,119
87,TUFTS UNIVERSITY,119
87,UNIVERSITY OF BRISTOL,119
90,UNIVERSITY OF OREGON,118
91,BRANDEIS UNIVERSITY,117
91,UNIVERSITY OF WARWICK,117
91,UNIVERSITY OF YORK,117
94,UNIVERSITY OF EDINBURGH,116
94,UNIVERSITY OF GENEVA,116
96,UPPSALA UNIVERSITY,114
97,QUEENS UNIVERSITY,113
98,"UNIVERSITY OF MISSOURI, COLUMBIA",111
98,"UNIVERSITY OF TENNESSEE, KNOXVILLE",111
100,FLORIDA STATE UNIVERSITY,108
101,GEORGETOWN UNIVERSITY,107
101,UNIVERSITY OF BASEL,107
103,DARTMOUTH COLLEGE,106
104,STOCKHOLM UNIVERSITY,104
105,UNIVERSITY OF VIENNA,103
106,OREGON STATE UNIVERSITY,102
106,UNIVERSITY OF OSLO,102
108,AARHUS UNIVERSITY,101
108,UNIVERSITY OF HELSINKI,101
108,UNIVERSITY OF SOUTHAMPTON,101
111,LOUISIANA STATE UNIVERSITY,100
112,HONG KONG UNIVERSITY OF SCIENCE AND TECHNOLOGY,99
112,UNIVERSITY OF ALBERTA,99
112,UNIVERSITY OF MANCHESTER,99
115,MCMASTER UNIVERSITY,98
115,VIRGINIA POLYTECHNIC INSTITUTE AND STATE UNIVERSITY,98
117,UNIVERSITY OF NOTTINGHAM,97
118,TULANE UNIVERSITY,96
119,TECHNION ISRAEL,95
120,BOSTON COLLEGE,94
120,HUMBOLDT UNIVERSITY OF BERLIN,94
122,"UNIVERSITY OF CALIFORNIA, RIVERSIDE",92
122,VRIJE UNIVERSITEIT AMSTERDAM,92
124,ETH ZURICH,90
124,LEIDEN UNIVERSITY,90
124,UNIVERSITY OF BONN,90
127,UNIVERSITY OF ESSEX,89
127,UNIVERSITY OF KENTUCKY,89
129,RICE UNIVERSITY,88
129,SOUTHERN METHODIST UNIVERSITY,88
129,UNIVERSITY OF NEW SOUTH WALES,88
132,FREE UNIVERSITY BRUSSELS,87
132,KATHOLIEKE UNIVERSITEIT LEUVEN,87
134,UNIVERSITY OF MIAMI,86
135,UNIVERSITY OF SUSSEX,84
135,YORK UNIVERSITY,84
137,UNIVERSITY OF MEDICINE DENTISTRY NEW JERSEY,83
138,"SUNY, BUFFALO",82
138,WASHINGTON STATE UNIVERSITY,82
140,GEORGE WASHINGTON UNIVERSITY,81
140,LUND UNIVERSITY,81
142,COLORADO STATE UNIVERSITY,79
142,SYRACUSE UNIVERSITY,79
142,UNIVERSITY OF GRONINGEN,79
145,UNIVERSITY OF MELBOURNE,78
146,UNIVERSITY OF HOUSTON,77
146,UNIVERSITY OF LAUSANNE,77
146,UNIVERSITY OF PARIS XI,77
146,"UNIVERSITY OF ROME, LA SAPIENZA",77
150,FREE UNIVERSITY BERLIN,76
150,LONDON BUSINESS SCHOOL,76
150,UNIVERSITY OF TOULOUSE / TOULOUSE SCHOOL OF ECONOMICS,76
153,STOCKHOLM SCHOOL OF ECONOMICS,75
154,GEORGIA INSTITUTE OF TECHNOLOGY,74
154,UNIVERSITY LAVAL,74
154,UNIVERSITY OF NEW MEXICO,74
157,UNIVERSITY AUTONOMA BARCELONA,73
157,UNIVERSITY OF CARLOS III MADRID,73
157,UNIVERSITY OF STRASBOURG,73
160,UNIVERSITY OF BERN,72
161,UNIVERSITY OF LONDON,70
162,UNIVERSITY OF BIRMINGHAM,69
162,UNIVERSITY OF CINCINNATI,69
164,TOHOKU UNIVERSITY,67
164,UNIVERSITY OF KANSAS,67
164,UNIVERSITY OF TSUKUBA,67
167,NAGOYA UNIVERSITY,66
167,UNIVERSITY OF GLASGOW,66
167,UNIVERSITY OF OKLAHOMA,66
170,MAASTRICHT UNIVERSITY,65
170,UNIVERSITY OF SYDNEY,65
170,UNIVERSITY OF UTRECHT,65
170,UNIVERSITY OF WATERLOO,65
174,POMPEU FABRA UNIVERSITY,64
174,SIMON FRASER UNIVERSITY,64
174,UNIVERSITY OF COLOGNE,64
177,NATIONAL UNIVERSITY OF SINGAPORE,62
178,UNIVERSITY OF HAMBURG,61
178,"UNIVERSITY OF NEBRASKA, LINCOLN",61
178,UNIVERSITY OF PARIS I,61
178,WAYNE STATE UNIVERSITY,61
182,CHINESE UNIVERSITY OF HONG KONG,60
182,MONASH UNIVERSITY,60
182,UNIVERSITY OF FREIBURG,60
182,"UNIVERSITY OF NEVADA, RENO",60
186,"BIRKBECK COLLEGE, UNIVERSITY OF LONDON",58
186,UNIVERSITY OF SOUTH FLORIDA,58
186,UNIVERSITY OF WURZBURG,58
189,CARLETON UNIVERSITY,57
189,UNIVERSITY OF DELAWARE,57
189,UNIVERSITY OF WESTERN AUSTRALIA,57
192,GEORGE MASON UNIVERSITY,56
193,BAR ILAN UNIVERSITY,55
194,DALHOUSIE UNIVERSITY,53
194,UNIVERSITY OF BOLOGNA,53
196,SAINT LOUIS UNIVERSITY,52
196,UNIVERSITY OF CALGARY,52
196,UNIVERSITY OF HONG KONG,52
196,UNIVERSITY OF SOUTH CAROLINA,52
200,GEORGIA STATE UNIVERSITY,51
200,UNIVERSITY OF EAST ANGLIA,51
200,UNIVERSITY OF GUELPH,51
203,LA TROBE UNIVERSITY,50
203,UNIVERSITY OF LEEDS,50
203,UNIVERSITY OF NOTRE DAME,50
203,UNIVERSITY OF SHEFFIELD,50
207,UNIVERSITY OF MILAN,49
208,LANCASTER UNIVERSITY,48
208,NEWCASTLE UNIVERSITY,48
208,"SUNY, ALBANY",48
208,UNIVERSITY OF PADUA,48
212,COLLEGE OF WILLIAM AND MARY,47
212,HOKKAIDO UNIVERSITY,47
212,TEMPLE UNIVERSITY,47
212,UNIVERSITY OF EXETER,47
212,UNIVERSITY OF TUBINGEN,47
217,TECHNICAL UNIVERSITY OF MUNICH,46
217,UNIVERSITY OF GOTTINGEN,46
217,UNIVERSITY OF KIEL,46
217,UNIVERSITY OF QUEBEC,46
217,UNIVERSITY OF TURIN,46
217,WEST VIRGINIA UNIVERSITY,46
223,AMERICAN UNIVERSITY WASHINGTON,45
223,RADBOUD UNIVERSITY NIJMEGEN,45
223,SOUTHERN ILLINOIS UNIVERSITY,45
223,UNIVERSITY OF GOTHENBURG,45
223,UNIVERSITY OF LYON,45
228,KYUSHU UNIVERSITY,44
228,UNIVERSITY OF BARCELONA,44
228,UNIVERSITY OF LEICESTER,44
228,UNIVERSITY OF MANNHEIM,44
228,UNIVERSITY OF WYOMING,44
233,INSEAD,43
233,UNIVERSITY AUTONOMA MADRID,43
235,BIELEFELD UNIVERSITY,42
235,"QUEEN MARY, UNIVERSITY OF LONDON",42
235,UNIVERSITY OF NEW HAMPSHIRE,42
235,VIRGINIA COMMONWEALTH UNIVERSITY,42
239,BEN GURION UNIVERSITY OF THE NEGEV,41
239,UMEA UNIVERSITY,41
239,UNIVERSITY OF KONSTANZ,41
239,UNIVERSITY OF PARIS VII,41
239,UNIVERSITY OF QUEENSLAND,41
244,BRIGHAM YOUNG UNIVERSITY,40
244,EUROPEAN UNIVERSITY INSTITUTE,40
244,UNIVERSITY OF OTTAWA,40
247,CLEMSON UNIVERSITY,39
247,NATIONAL TAIWAN UNIVERSITY,39
247,UNIVERSITY OF ALICANTE,39
250,UNIVERSITY OF HAIFA,38
250,UNIVERSITY OF LIVERPOOL,38
250,UNIVERSITY OF READING,38
250,UNIVERSITY OF SAO PAULO,38
250,UNIVERSITY OF VICTORIA,38
255,AUBURN UNIVERSITY,36
255,MONTANA STATE UNIVERSITY,36
255,RUHR UNIVERSITY BOCHUM,36
255,UNIVERSITY OF WALES,36
255,UNIVERSITY OF BATH,36
255,UNIVERSITY OF BAYREUTH,36
255,UNIVERSITY OF FLORENCE,36
255,UNIVERSITY OF PAVIA,36
255,UNIVERSITY OF RHODE ISLAND,36
255,UNIVERSITY OF VERMONT,36
265,LOYOLA UNIVERSITY CHICAGO,35
265,UNIVERSITY OF DUNDEE,35
265,UNIVERSITY OF KENT,35
265,UNIVERSITY OF MAINZ,35
265,UNIVERSITY OF MEMPHIS,35
265,UNIVERSITY OF VALENCIA,35
265,WAKE FOREST UNIVERSITY,35
272,KANSAS STATE UNIVERSITY,34
272,KOBE UNIVERSITY,34
272,"NORWEGIAN SCHOOL OF ECONOMICS, NHH",34
272,UNIVERSITY OF BERGEN,34
272,UNIVERSITY OF CHILE,34
277,NORTHEASTERN UNIVERSITY,33
277,SANTA CLARA UNIVERSITY,33
277,UNIVERSITY COLLEGE DUBLIN,33
277,UNIVERSITY OF ST ANDREWS,33
277,UNIVERSITY OF TOULOUSE 3,33
282,CHALMERS UNIVERSITY OF TECHNOLOGY,32
282,UNIVERSITY OF AUCKLAND,32
282,UNIVERSITY OF PARIS V,32
282,"UNIVERSITY OF ROME, TOR VERGATA",32
286,EAST CAROLINA UNIVERSITY,31
287,GOETHE UNIVERSITY FRANKFURT,30
287,LOMONOSOV MOSCOW STATE UNIVERSITY,30
287,UNIVERSITY OF REGENSBURG,30
290,CONCORDIA UNIVERSITY,29
290,DELFT UNIVERSITY OF TECHNOLOGY,29
290,INDIANA UNIVERSITY-PURDUE UNIVERSITY INDIANAPOLIS,29
290,MUNSTER UNIVERSITY,29
290,NEW UNIVERSITY OF LISBON (NOVA),29
290,UNIVERSITY OF ERLANGEN-NURNBERG,29
290,UNIVERSITY OF INNSBRUCK,29
290,UNIVERSITY OF LIEGE,29
298,CHIBA UNIVERSITY,28
298,KEIO UNIVERSITY,28
298,UNIVERSITY OF STRATHCLYDE,28
301,BOCCONI UNIVERSITY,27
301,CITY UNIVERSITY LONDON,27
301,KEELE UNIVERSITY,27
301,"SUNY, BINGHAMTON",27
301,TEXAS TECHNICAL UNIVERSITY,27
301,UNIVERSITY OF MAINE,27
301,UNIVERSITY OF MANITOBA,27
301,UNIVERSITY OF MISSISSIPPI,27
309,OHIO UNIVERSITY,26
309,TOKYO INSTITUTE OF TECHNOLOGY,26
309,UNIVERSITY OF ADELAIDE,26
309,UNIVERSITY OF LOUISVILLE,26
309,UNIVERSITY OF WINDSOR,26
309,VIENNA UNIVERSITY OF TECHNOLOGY,26
315,BILKENT UNIVERSITY,25
315,CA FOSCARI UNIVERSITY OF VENICE,25
315,CHINESE ACADEMY OF SCIENCES,25
315,CITY UNIVERSITY OF NEW YORK,25
315,GHENT UNIVERSITY,25
315,NORTHEASTERN ILLINOIS UNIVERSITY,25
315,SEOUL NATIONAL UNIVERSITY,25
315,UNIVERSITY OF BRESCIA,25
315,UNIVERSITY OF ICELAND,25
315,UNIVERSITY OF KARLSRUHE,25
315,UNIVERSITY OF MARBURG,25
315,UNIVERSITY OF NAPLES FEDERICO 2,25
315,UNIVERSITY OF SURREY,25
315,WAGENINGEN UNIVERSITY,25
329,FLORIDA INTERNATIONAL UNIVERSITY,24
329,TRINITY COLLEGE DUBLIN,24
329,TSINGHUA UNIVERSITY,24
329,UNIVERSITY NACIONAL AUTONOMA MEXICO,24
329,UNIVERSITY OF DURHAM,24
329,UNIVERSITY OF MODENA,24
329,UNIVERSITY OF OTAGO,24
329,UNIVERSITY OF SWANSEA,24
329,WELLESLEY COLLEGE,24
338,FORDHAM UNIVERSITY,23
338,SWEDISH UNIVERSITY OF AGRICULTURAL SCIENCES,23
338,UNIVERSITY DE LA MEDITERRANEE AIX-MARSEILLE 2,23
338,UNIVERSITY OF DORTMUND,23
338,UTAH STATE UNIVERSITY,23
338,WILFRID LAURIER UNIVERSITY,23
344,ATHENS UNIVERSITY OF ECONOMICS AND BUSINESS,22
344,BOWLING GREEN STATE UNIVERSITY,22
344,INSTITUTO TECNOLOGICO AUTONOMO DE MEXICO,22
344,LEHIGH UNIVERSITY,22
344,THE OPEN UNIVERSITY,22
344,UNIVERSITY OF ANTWERP,22
344,UNIVERSITY OF SOUTHERN DENMARK,22
344,UNIVERSITY OF ULM,22
352,KUMAMOTO UNIVERSITY,21
352,SAN DIEGO STATE UNIVERSITY,21
352,TECHNICAL UNIVERSITY OF BERLIN,21
352,UNIVERSITY COMPLUTENSE MADRID,21
352,UNIVERSITY OF GRENOBLE 1,21
352,UNIVERSITY OF MONTPELLIER 2,21
352,VICTORIA UNIVERSITY OF WELLINGTON,21
359,HIROSHIMA UNIVERSITY,20
359,MASSEY UNIVERSITY,20
359,UNIVERSITY OF GIESSEN,20
359,UNIVERSITY OF NORTH TEXAS,20
359,UNIVERSITY OF OSNABRUCK,20
359,UNIVERSITY OF ROUEN,20
359,UNIVERSITY OF SAARLAND,20
359,UNIVERSITY OF THE BASQUE COUNTRY/PAIS VASCO,20
367,OKLAHOMA STATE UNIVERSITY,19
367,TECHNICAL UNIVERSITY OF DRESDEN,19
367,UNIVERSITY OF ABERDEEN,19
367,UNIVERSITY OF ARKANSAS,19
367,UNIVERSITY OF CERGY PONTOISE,19
367,UNIVERSITY OF HULL,19
367,UNIVERSITY OF TURKU,19
367,"UNIVERSITY OF WALES, CARDIFF",19
375,BENTLEY UNIVERSITY,18
375,CATHOLIC UNIVERSITY OF PORTUGAL,18
375,CLARK UNIVERSITY,18
375,NEW MEXICO STATE UNIVERSITY,18
375,NORTHERN ARIZONA UNIVERSITY,18
375,UNIVERSITY OF ALASKA,18
375,UNIVERSITY OF GENOA,18
375,UNIVERSITY OF PARIS X,18
383,JOHANNES KEPLER UNIVERSITY,17
383,MIAMI UNIVERSITY,17
383,OKAYAMA UNIVERSITY,17
383,QUEENS UNIVERSITY BELFAST,17
383,UNIVERSITY OF BORDEAUX,17
383,UNIVERSITY OF CRETE,17
383,UNIVERSITY OF NAMUR,17
383,UNIVERSITY OF STIRLING,17
383,WASEDA UNIVERSITY,17
392,"CALIFORNIA STATE UNIVERSITY, LOS ANGELES",16
392,"CUNY, HUNTER COLLEGE",16
